Code,Nom français,Nom latin
SAN,Sanguisorbe du canada,Sanguisorba canadensis Linnaeus
SAP,Sureau rouge,Sambucus racemosa Linnaeus
SAR,Sarracénie pourpre,Sarracenia purpurea Linnaeus
SAS,Sanicle,Sanicula Linnaeus
SAT,Sanicle trifoliée,Sanicula trifoliata E.P. Bicknell
SAV,Sarriette vulgaire,Clinopodium vulgare Linnaeus
SCE,Scutellaire à feuilles d'épilobe,Scutellaria galericulata var. pubescens Bentham
SCG,Scutellaire à feuilles d'épilobe,Scutellaria galericulata var. pubescens Bentham
SCL,Scutellaire latériflore,Scutellaria lateriflora Linnaeus
SCP,Scutellaire minime,Scutellaria parvula Michaux
SEN,Séneçon,Senecio Linnaeus
SEP,Orpin pourpre,Hylotelephium telephium (Linnaeus) H. Ohba
SIA,Sicyos anguleux,Sicyos angulatus Linnaeus
SIC,Silène enflé,Silene vulgaris (Moench) Garcke
SIM,Bermudienne montagnarde,Sisyrinchium montanum Greene
SIS,Berle douce,Sium suave Walter
SIY,Bermudienne,Sisyrinchium Linnaeus
SMH,Smilax herbacé,Smilax herbacea Linnaeus
SMR,Smilacine à grappes,Maianthemum racemosum (Linnaeus) Link
SMS,Smilacine étoilée,Maianthemum stellatum (Linnaeus) Link
SMT,Smilacine trifoliée,Maianthemum trifolium (Linnaeus) Sloboda
SOA,Sorbier d'amérique,Sorbus americana Marshall
SOC,Verge d'or du canada,Solidago canadensis Linnaeus
SOD,Sorbier plaisant,Sorbus decora (Sargent) C.K. Schneider
SOF,Verge d'or à tige zigzaguante,Solidago flexicaulis Linnaeus
SOH,Verge d'or hispide,Solidago hispida Muhlenberg ex Willdenow
SOL,Morelle douce-amère,Solanum dulcamara Linnaeus
SOM,Verge d'or à grandes feuilles,Solidago macrophylla Banks ex Pursh
SON,Laiteron,Sonchus Linnaeus
SOR,Verge d'or rugueuse,Solidago rugosa Miller
SOS,Verge d'or,Solidago Linnaeus
SPF,Sphaigne brune,Sphagnum fuscum (Schimp.) Klinggr.
SPG,Sphaigne de girgensohn,Sphagnum girgensohnii Russow
SPI,Spiranthe découpée,Spiranthes lacera (Rafinesque) Rafinesque
SPL,Spirée à larges feuilles,Spiraea alba var. latifolia (Aiton) Dippel
SPM,,Sphagnum magellanicum Brid.
SPQ,Sphaigne squarreuse,Sphagnum squarrosum Crome
SPR,Sphaigne de russow,Sphagnum russowii Warnst.
SPS,Sphaigne,Sphagnum  Linnaeus
SPT,Spirée tomenteuse,Spiraea tomentosa Linnaeus
STA,Streptope à feuilles embrassantes,Streptopus amplexifolius (Linnaeus) de Candolle
STG,Stellaire à feuilles de graminée,Stellaria graminea Linnaeus
STP,Stéréocaule lapin,Stereocaulon paschale (L.) Hoffm.
STR,Streptope rose,Streptopus lanceolatus (Aiton) Reveal var. lanceolatus
STS,Stellaire,Stellaria Linnaeus
SYA,Symphorine blanche,Symphoricarpos albus (Linnaeus) S.F. Blake
SYF,Chou puant,Symplocarpus foetidus (Linnaeus) Salisbury ex W.P.C. Barton
TAC,If du canada,Taxus canadensis Marshall
TAO,Pissenlit officinal,Taraxacum officinale F.H. Wiggers
TEC,Germandrée du canada,Teucrium canadense Linnaeus
TEO,Germandrée visqueuse,Teucrium canadense var. occidentale (Gray) E.M. McClintock & Epling
THD,Pigamon dioïque,Thalictrum dioicum Linnaeus
THO,Thuya occidental,Thuja occidentalis Linnaeus
THP,Pigamon pubescent,Thalictrum pubescens Pursh
THR,,Thuidium recognitum (Hedw.) Lindb.
TIC,Tiarelle cordifoliée,Tiarella cordifolia Linnaeus
TIL,Tilleul d'amérique,Tilia americana Linnaeus
TRB,Trientale boréale,Lysimachia borealis (Rafinesque) U. Manns & Anderberg
TRC,Trille penché,Trillium cernuum Linnaeus
TRE,Trille rouge,Trillium erectum Linnaeus
TRF,Trèfle,Trifolium Linnaeus
TRG,Trille blanc,Trillium grandiflorum (Michaux) Salisbury
TRT,Trichocolée tomenteuse,Trichocolea tomentella (Ehrh.) Dumort.
TRU,Trille ondulé,Trillidium undulatum (Willdenow) Floden & E.E. Schilling
TUF,Tussilage pas-d'âne,Tussilago farfara Linnaeus
TYA,Quenouille à feuilles étroites,Typha angustifolia Linnaeus
TYL,Quenouille à feuilles larges,Typha latifolia Linnaeus
URD,Ortie dioïque,Urtica dioica Linnaeus
UVG,Uvulaire à grandes fleurs,Uvularia grandiflora J.E. Smith
UVP,Uvulaire perfoliée,Uvularia perfoliata Linnaeus
UVS,Uvulaire à feuilles sessiles,Uvularia sessilifolia Linnaeus
VAA,Bleuet à feuilles étroites,Vaccinium angustifolium Aiton
VAC,Airelle gazonnante,Vaccinium cespitosum Michaux
VAF,Valériane officinale,Valeriana officinalis Linnaeus
VAI,Airelle à feuilles ovées,Vaccinium ovalifolium Smith
VAL,Valériane des tourbières,Valeriana uliginosa (Torrey & A. Gray) Rydberg ex Britton
VAM,Bleuet fausse-myrtille,Vaccinium myrtilloides Michaux
VAO,Canneberge commune,Vaccinium oxycoccos Linnaeus
VAU,Airelle des marécages,Vaccinium uliginosum Linnaeus
VAV,Airelle rouge,Vaccinium vitis-idaea Linnaeus
VAY,Bleuet en corymbe,Vaccinium corymbosum Linnaeus
VEH,Verveine hastée,Verbena hastata Linnaeus
VEI,Vérâtre vert,Veratrum viride Aiton
VEJ,Vesce jargeau,Vicia cracca Linnaeus
VEO,Véronique officinale,Veronica officinalis Linnaeus
VES,Véronique à feuilles de serpolet,Veronica serpyllifolia Linnaeus
VET,Grande molène,Verbascum thapsus Linnaeus
VIB,Viorne flexible,Viburnum lentago Linnaeus
VIC,Viorne cassinoïde,Viburnum cassinoides Linnaeus
VIE,Viorne comestible,Viburnum edule (Michaux) Rafinesque
VIF,Viorne à feuilles d'érable,Viburnum acerifolium Linnaeus
VIL,Viorne bois-d'orignal,Viburnum lantanoides Michaux
VIN,Violette du canada,Viola canadensis Linnaeus
VIP,Violette pâle,Viola macloskeyi F.E. Lloyd
VIR,Vigne des rivages,Vitis riparia Michaux
VIS,Violette,Viola Linnaeus
VIT,Viorne trilobée,Viburnum opulus var. americanum Aiton
VIV,Violette pubescente,Viola pubescens Aiton
WAF,Waldsteinie faux-fraisier,Geum fragarioides (Michaux) Smedmark
ZIA,Zizia doré,Zizia aurea (Linnaeus) W.D.J. Koch
