Code,Nom français,Nom latin
CHU,Chimaphile à ombelles,Chimaphila umbellata (Linnaeus) W.P.C. Barton
CIA,Circée alpine,Circaea alpina Linnaeus
CIB,Cicutaire bulbifère,Cicuta bulbifera Linnaeus
CII,Chicorée sauvage,Cichorium intybus Linnaeus
CIL,Circée du canada,Circaea canadensis (Linnaeus) Hill subsp. canadensis
CIM,Cicutaire maculée,Cicuta maculata Linnaeus
CIS,Chardon,Cirsium Miller
CIV,Chardon vulgaire,Cirsium vulgare (Savi) Tenore
CLA,Cladonie,Cladina (Nyl.) Nyl
CLA_S,"Lichens (CLA,CLR,CLM,CLS et CLT)",
CLB,Clintonie boréale,Clintonia borealis (Aiton) Rafinesque
CLC,Claytonie de caroline,Claytonia caroliniana Michaux
CLD,Climacie arbustive,Climacium dendroides (Hedw.) F. Weber & D. Mohr
CLM,Cladonie lisse,Cladina mitis (Sandst.) Hustich
CLR,Cladonie rangifère,Cladina rangiferina (L.) Nyl.
CLS,Cladonie,Cladonia P. Browne
CLT,Cladonie étoilée,Cladina stellaris (Opiz) Brodo
CLV,Clématite de virginie,Clematis virginiana Linnaeus
COA,Cornouiller à feuilles alternes,Cornus alternifolia Linnaeus f.
COC,Noisetier à long bec,Corylus cornuta Marshall
COG,Savoyane,Coptis trifolia (Linnaeus) Salisbury
COL,Comandre livide,Geocaulon lividum (Richardson) Fernald
COM,Corallorhize maculée,Corallorhiza maculata (Rafinesque) Rafinesque
CON,Quatre-temps,Cornus canadensis Linnaeus
COP,Comptonie voyageuse,Comptonia peregrina (Linnaeus) J.M. Coulter
COR,Cornouiller stolonifère,Cornus sericea Linnaeus
COS,Liseron des haies d'amérique,Calystegia sepium subsp. americana (Sims) Brummitt
COU,Cornouiller rugueux,Cornus rugosa Lamarck
COY,Corydale toujours verte,Capnoides sempervirens (Linnaeus) Borkhausen
CRA,Aubépine,Crataegus Linnaeus
CRC,Cryptoténie du canada,Cryptotaenia canadensis (Linnaeus) de Candolle
CRS,Cryptogramme de steller,Cryptogramma stelleri (S.G. Gmelin) Prantl
CYA,Cypripède acaule,Cypripedium acaule Aiton
CYB,Cystoptère bulbifère,Cystopteris bulbifera (Linnaeus) Bernhardi
CYC,Cypripède jaune,Cypripedium parviflorum Salisbury
CYR,Cypripède royal,Cypripedium reginae Walter
DAC,Carotte sauvage,Daucus carota Linnaeus
DAR,Dalibarde rampante,Rubus repens (Linnaeus) Kuntze
DEC,Desmodie du canada,Desmodium canadense (Linnaeus) de Candolle
DED,Dentaire à deux feuilles,Cardamine diphylla (Michaux) Alph. Wood
DEG,Desmodie glutineuse,Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill
DEL,Dentaire laciniée,Cardamine concatenata (Michaux) O. Schwarz
DEP,Dennstaedtie à lobules ponctués,Dennstaedtia punctilobula (Michaux) T. Moore
DIA,Dicentre du canada,Dicentra canadensis (Goldie) Walpers
DIC,Dicentre,Dicentra Bernhardi
DIE,Dièreville chèvrefeuille,Diervilla lonicera Miller
DIL,Diapensie de laponie,Diapensia lapponica Linnaeus
DIP,Cardère des bois,Dipsacus fullonum Linnaeus
DIR,Dirca des marais,Dirca palustris Linnaeus
DIS,,Dicranum Hedw.
DRC,Dryoptère à crêtes,Dryopteris cristata (Linnaeus) A. Gray
DRD,Gymnocarpe disjoint,Gymnocarpium disjunctum (Ruprecht) Ching
DRF,,Warnstorfia fluitans (Hedw.) Loeske
DRG,Dryoptère de goldie,Dryopteris goldieana (Hooker ex Goldie) A. Gray
