epoch,batch,param,grad_mean,grad_std,grad_max
0,,clim_branch.conv_layers.0.weight,0.00018254868336953223,0.0005563931190408766,0.016399044543504715
0,,clim_branch.conv_layers.0.bias,3.8687630876665935e-10,6.230588267541748e-10,2.7939677238464355e-09
0,,clim_branch.conv_layers.1.weight,0.0005261714104562998,0.000630610273219645,0.0014178726123645902
0,,clim_branch.conv_layers.1.bias,0.00032980021205730736,0.0004106598498765379,0.0009648811537772417
0,,clim_branch.conv_layers.4.weight,0.00017161954019684345,0.00025376491248607635,0.002224809257313609
0,,clim_branch.conv_layers.4.bias,3.05107050735387e-11,3.9919276217936783e-11,1.1641532182693481e-10
0,,clim_branch.conv_layers.5.weight,0.0003144164220429957,0.00042841691174544394,0.0014646140625700355
0,,clim_branch.conv_layers.5.bias,0.0001735500991344452,0.00022170390002429485,0.0006374729564413428
0,,clim_branch.conv_layers.8.weight,9.349370520794764e-05,0.00013400540046859533,0.0012749249581247568
0,,clim_branch.conv_layers.8.bias,1.8321344441574183e-11,2.5689960575503434e-11,7.275957614183426e-11
0,,clim_branch.conv_layers.9.weight,0.00027856958331540227,0.0003741286345757544,0.0014746084343641996
0,,clim_branch.conv_layers.9.bias,0.00021307704446371645,0.0002751341671682894,0.0008648013463243842
0,,shared_head.0.weight,0.00012652348959818482,0.0002767506521195173,0.00357069936580956
0,,shared_head.0.bias,0.00017145639867521822,0.00030329334549605846,0.001007615588605404
0,,shared_head.3.weight,0.00142713263630867,0.0024110127706080675,0.010036593303084373
0,,shared_head.3.bias,0.0003397951368242502,,0.0003397951368242502
0,,species_heads.0.0.weight,0.00017400115029886365,0.0002781506918836385,0.00262664956972003
0,,species_heads.0.0.bias,4.192202140984591e-11,6.382430001172779e-11,1.7462298274040222e-10
0,,species_heads.0.1.weight,0.00035786652006208897,0.0004949537105858326,0.0021453166846185923
0,,species_heads.0.1.bias,0.00024354721244890243,0.0003288478183094412,0.0010088235139846802
0,,species_heads.0.4.weight,0.00033989836811088026,0.0005390985170379281,0.0034976822789758444
0,,species_heads.0.4.bias,6.224443183100448e-11,9.157753028121718e-11,2.3283064365386963e-10
0,,species_heads.0.5.weight,0.0007288370397873223,0.0011290374677628279,0.0033147253561764956
0,,species_heads.0.5.bias,0.0005465181893669069,0.0007883983780629933,0.0021531672682613134
0,,species_heads.0.8.weight,0.002998750191181898,0.0036463825963437557,0.009702845476567745
0,,species_heads.0.8.bias,0.0003397951368242502,,0.0003397951368242502
1,,clim_branch.conv_layers.0.weight,0.00012852135114371777,0.00030658734613098204,0.0035734635312110186
1,,clim_branch.conv_layers.0.bias,2.335127646801993e-10,3.2195202059881467e-10,8.003553375601768e-10
1,,clim_branch.conv_layers.1.weight,0.0003780853294301778,0.0004933903110213578,0.0010616799117997289
1,,clim_branch.conv_layers.1.bias,0.00030410272302106023,0.0004379629681352526,0.0011746634263545275
1,,clim_branch.conv_layers.4.weight,0.00010627915617078543,0.00015726561832707375,0.0010763686150312424
1,,clim_branch.conv_layers.4.bias,2.249223030048597e-11,3.08945612148559e-11,1.0913936421275139e-10
1,,clim_branch.conv_layers.5.weight,0.0001787627988960594,0.0002275036385981366,0.0005576106486842036
1,,clim_branch.conv_layers.5.bias,0.00012603292998392135,0.00016801239689812064,0.0005458438536152244
1,,clim_branch.conv_layers.8.weight,4.973431714461185e-05,7.144133996916935e-05,0.0006304348935373127
1,,clim_branch.conv_layers.8.bias,1.1584511128148733e-11,1.6389186882626028e-11,5.093170329928398e-11
1,,clim_branch.conv_layers.9.weight,0.00020220241276547313,0.0002741924545262009,0.0009774166392162442
1,,clim_branch.conv_layers.9.bias,0.0002006281865760684,0.00026447218260727823,0.0009139711037278175
1,,shared_head.0.weight,0.00015107906074263155,0.00030592645634897053,0.0028243898414075375
1,,shared_head.0.bias,0.0003451941011007875,0.0005490211769938469,0.0015884211752563715
1,,shared_head.3.weight,0.0023143496364355087,0.0037327653262764215,0.016413310542702675
1,,shared_head.3.bias,0.007802959531545639,,0.007802959531545639
1,,species_heads.0.0.weight,0.00011316257587168366,0.0001669593038968742,0.0009805203881114721
1,,species_heads.0.0.bias,3.4432900974934455e-11,4.693500796348893e-11,1.6007106751203537e-10
1,,species_heads.0.1.weight,0.00031862460309639573,0.00044225278543308377,0.0016053483122959733
1,,species_heads.0.1.bias,0.0002529590274207294,0.0003246505802962929,0.0007959302747622132
1,,species_heads.0.4.weight,0.0002957726246677339,0.00044761583558283746,0.003225433873012662
1,,species_heads.0.4.bias,5.704237082682084e-11,8.246108657017359e-11,2.9103830456733704e-10
1,,species_heads.0.5.weight,0.0005624999175779521,0.0008538747206330299,0.00245242053642869
1,,species_heads.0.5.bias,0.0007232173229567707,0.001027116784825921,0.0029866863042116165
1,,species_heads.0.8.weight,0.0028281998820602894,0.003309063846245408,0.009589793160557747
1,,species_heads.0.8.bias,0.007802959531545639,,0.007802959531545639
2,,clim_branch.conv_layers.0.weight,0.00011035891657229513,0.00030181006877683103,0.0060079218819737434
2,,clim_branch.conv_layers.0.bias,2.956994649139233e-10,5.811471859296091e-10,2.735760062932968e-09
2,,clim_branch.conv_layers.1.weight,0.00032258228748105466,0.000460480252513662,0.0011298281606286764
2,,clim_branch.conv_layers.1.bias,0.0002390580193605274,0.0002958163386210799,0.0006530794780701399
2,,clim_branch.conv_layers.4.weight,9.674661851022393e-05,0.00014422905223909765,0.0012161912163719535
2,,clim_branch.conv_layers.4.bias,2.086153472191654e-11,2.747663728486227e-11,7.639755494892597e-11
2,,clim_branch.conv_layers.5.weight,0.0001953237660927698,0.0002665489446371794,0.0008974526426754892
2,,clim_branch.conv_layers.5.bias,0.00011810311116278172,0.0001619823306100443,0.0005589241627603769
2,,clim_branch.conv_layers.8.weight,4.2981871956726536e-05,6.072287942515686e-05,0.0006274312036111951
2,,clim_branch.conv_layers.8.bias,1.127986593019159e-11,1.499510064728593e-11,5.3887561080046e-11
2,,clim_branch.conv_layers.9.weight,0.00016835564747452736,0.0002180939627578482,0.000627903442364186
2,,clim_branch.conv_layers.9.bias,0.00016173980839084834,0.00019636261276900768,0.00044362957123667
2,,shared_head.0.weight,0.00010606469732010737,0.00020722387125715613,0.001943909446708858
2,,shared_head.0.bias,0.00016548120765946805,0.00028033030685037374,0.0010828622616827488
2,,shared_head.3.weight,0.0012248172424733639,0.0019281377317383885,0.007804532535374165
